,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,Jansky,
165,5.403,4.182,3.757,10.694,10.552,,,9.394,7.548,,,,,3.488,2.895,1.053,0.929,1.486,,,27.98,,,S-AGB
166,4.183,2.919,2.452,0.224,0.965,,,1.795,1.384,,,,,9.377,7.59,2.99,2.816,0.709,0.4236,0.3823,2.523,1.499,1.168,S-AGB
167,6.705,5.642,5.218,4.985,5.03,,,4.77,4.269,,,,,0.6808,0.6077,0.1942,0.7149,13.73,0.6853,1.29,165.3,2.644,5.185,S-AGB
168,4.882,4.096,3.798,,3.221,,,2.56,1.733,,,,,3.919,3.488,1.814,2.055,9.125,1.099,2.005,150.1,1.176,2.593,S-AGB
169,5.966,4.894,4.404,4.107,4.083,,,3.869,3.423,,,,,1.352,1.179,0.4329,0.4709,0.4,,,11.16,,,S-AGB
170,3.256,2.275,1.893,0.033,0.416,,,1.464,1.195,,,,,13.42,10.63,3.844,3.095,1.08,0.2949,0.6407,9.304,,1.182,S-AGB
171,5.715,4.809,4.389,4.198,4.234,,,3.953,3.481,,,,,1.359,0.9434,0.4455,0.3209,2.148,,,17.2,,,S-AGB
172,4.6,3.362,2.897,1.313,1.873,,,2.485,1.974,,,,,4.973,3.809,1.616,1.543,0.5326,,,14.23,,,S-AGB
173,2.928,1.897,1.532,-0.986,-0.189,,,0.066,-0.573,,,,,31.450001,30.47,17.469999,14.23,1.922,0.4458,0.5904,1.176,1.207,0.3869,S-AGB
174,6.07,4.809,4.188,3.701,3.745,,,3.377,2.748,,,,,2.32,1.95,0.8413,0.8154,6.081,,,46.23,,,S-AGB
175,5.412,4.555,4.16,4.024,4.013,,,3.942,3.765,,,,,1.4,1.098,0.364,0.3654,0.5856,,,10.62,,,S-AGB
176,6.25,5.338,4.886,4.718,4.67,,,4.543,4.216,,,,,0.8329,0.7523,0.2859,0.3647,9.694,0.2662,0.9761,80.82,7.854,3.088,S-AGB
177,6.398,5.302,4.823,4.661,4.736,,,4.461,3.917,,,,,0.8517,0.76,0.2748,0.2087,0.5085,,,13.51,,,S-AGB
178,6.484,5.635,5.204,4.725,4.387,,,4.111,3.82,,,,,1.062,0.8644,0.3629,0.2425,0.4,,,1.557,,,S-AGB
179,5.986,4.825,4.325,3.998,3.963,,,3.854,3.098,,,,,1.593,1.13,0.5821,0.8518,22.42,,,313.2,,,S-AGB
180,5.46,4.522,3.843,3.72,3.114,,,2.421,1.899,,,,,2.868,3.965,1.214,1.645,0.4,,,5.126,,,S-AGB
181,6.618,5.544,5.136,4.931,4.932,,,4.874,4.695,,,,,0.6215,0.4375,0.1876,0.25,0.5314,,,6.167,,,S-AGB
182,5.707,4.373,3.562,1.495,0.845,,,1.39,0.796,,,,,13.71,12.46,4.948,5.136,5.174,,,134.9,,,S-AGB
183,6.697,5.775,5.443,5.319,5.295,,,5.282,5.08,,,,,0.465,0.3172,,0.25,0.6389,,,3.989,,,S-AGB
184,6.851,5.913,5.516,5.459,5.326,,,5.206,4.896,,,,,0.478,0.3088,0.1125,0.25,3.113,,,38.31,,,S-AGB
185,6.449,5.341,4.725,4.473,4.55,,,4.137,3.471,,,,,1.128,0.8698,0.4133,0.4483,4.78,,,45.32,,,S-AGB
186,6.518,5.341,4.795,4.563,4.609,,,4.075,3.451,,,,,1.095,0.8906,0.4443,0.3921,0.4,,,2.139,,,S-AGB
187,6.821,5.891,5.522,5.448,5.448,,,5.395,5.255,,,,,0.393,0.2922,,0.25,1.894,,,17.84,,,S-AGB
188,4.762,3.555,3.243,1.88,2.843,,,2.55,2.107,,,,,4.666,4.152,1.548,1.27,0.618,,,13.55,,,S-AGB
189,6.587,5.256,4.525,4.183,3.992,,,3.201,2.506,,,,,2.058,2.013,1.093,0.8196,13.94,,,195.1,,,S-AGB
190,7.355,5.861,5.16,4.777,4.628,,,3.833,2.613,,,,,1.239,1.193,0.7867,0.8288,11.88,,,149.9,,,S-AGB
191,6.925,5.809,5.2,4.556,4.383,,,3.86,3.513,,,,,0.996,0.806,0.4126,0.1812,2.955,,,25.37,,,S-AGB
192,7.575,5.959,5.09,4.87,4.326,,,2.782,1.739,,,,,3.281,6.318,2.433,3.313,0.9932,,,17.03,,,S-AGB
193,6.528,5.01,4.072,3.558,1.49,,,1.091,0.619,,,,,11.41,5.954,5.201,3.065,4.146,,,60.02,,,S-AGB
194,3.197,2.172,1.645,-1.175,-0.481,,,0.18,0.072,,,,,40.770001,20.88,11.05,6.558,1.619,1.647,1.186,1.996,,,S-AGB
195,6.186,5.258,4.724,4.908,4.789,,,4.54,4.307,,,,,0.8425,0.6906,0.2612,0.25,0.4,,,1.304,,,S-AGB
196,4.976,4.024,3.623,3.221,2.776,,,2.467,2.196,,,,,4.572,3.633,1.506,1.049,0.4,,,1,,,S-AGB
197,4.458,3.431,3.017,1.598,1.321,,,2.225,1.829,,,,,4.727,4.233,1.598,1.398,0.2925,,,1,,,S-AGB
198,6.707,5.27,4.615,4.336,4.151,,,3.972,3.409,,,,,1.324,1.002,0.4445,0.6126,5.23,,,76.33,,,S-AGB
199,7.288,6.179,5.568,5.685,4.92,,,3.993,3.372,,,,,1.153,0.8438,0.5697,0.3833,0.4,,,1.106,,,S-AGB
200,5.685,4.715,4.33,4.085,4.042,,,3.857,3.57,,,,,1.441,1.196,0.4238,0.3869,3.248,,,32.66,,,S-AGB
201,5.701,4.698,4.179,4.01,3.95,,,3.873,3.419,,,,,1.565,1.283,0.5295,0.4488,3.438,,,39.5,,,S-AGB
202,2.645,1.797,1.485,-1.272,-0.49,,,1.252,1.032,,,,,19.77,15.29,4.659,3.815,0.6334,,,1,,,S-AGB
203,2.343,1.136,0.699,-1.567,-0.454,,,-0.235,-0.832,,,,,71.769997,54.82,22.57,20.52,4.127,2.675,1.682,1.324,0.9987,,S-AGB
204,5.706,4.537,3.974,3.265,2.938,,,1.555,0.161,,,,,7.996,7.425,3.387,5.444,15.12,0.1408,2.14,199,,1.012,S-AGB
205,3.217,2.031,1.579,-0.666,-0.286,,,1.073,0.581,,,,,19.450001,15.62,5.666,5.524,2.059,1.774,1.549,9.396,0.3832,0.4036,S-AGB
206,3.982,2.955,2.627,1.811,1.73,,,2.525,2.371,,,,,5.543,4.227,1.366,1.029,0.5517,,,9.567,,,S-AGB
207,1.917,0.945,0.504,-2.056,-1.771,,,-0.159,-0.433,,,,,59.32,46.44,17.200001,14.16,3.559,,,54.83,,,S-AGB
208,5.276,4.309,3.635,3.692,3.008,,,2.354,1.836,,,,,4.084,3.48,1.735,1.411,0.5576,,,4.657,,,S-AGB
209,4.591,3.414,2.992,1.998,2.645,,,2.549,2.165,,,,,4.554,3.599,1.538,1.207,0.8588,,,40.39,,,S-AGB
210,5.599,4.596,4.128,3.73,3.497,,,3.301,2.938,,,,,2.41,1.782,0.7409,0.4281,0.4865,,,3.224,,,S-AGB
211,5.724,4.645,4.067,3.892,3.782,,,3.696,3.292,,,,,1.869,1.381,0.5482,1.371,6.502,,,76.19,,,S-AGB
212,4.13,2.964,2.505,0.403,1.146,,,2.129,1.969,,,,,7.684,5.871,1.936,1.667,1.037,0.3345,0.8673,14.57,1.181,0.2762,S-AGB
213,5.333,4.099,3.338,0.34,-0.37,,,0.052,-0.492,,,,,23.67,20.33,13.47,8.989,2.279,2.44,1.97,121.8,6.102,5.352,S-AGB
214,5.041,3.969,3.479,1.301,1.215,,,1.808,1.508,,,,,6.868,7.785,2.094,2.219,0.4354,,,1.619,,,S-AGB
215,4.975,3.814,3.38,2.121,2.646,,,2.282,1.977,,,,,6.955,4.979,1.892,1.809,2.623,0.1302,0.4708,36.53,1.133,,S-AGB
216,6.162,4.786,3.73,4.016,3.663,,,3.208,2.836,,,,,2.78,2.926,1.124,0.8978,0.465,,,3.37,,,S-AGB
217,3.531,2.377,1.796,0.452,-0.275,,,0.615,0.268,,,,,33.490002,21.76,13.21,8.94,2.096,1.168,1.126,5.033,0.206,1.479,S-AGB
218,6.69,5.147,4.4,4.066,4.107,,,3.71,3.109,,,,,1.651,1.263,0.6987,0.4955,1.33,,,70.52,,,S-AGB
219,5.785,4.779,4.145,3.483,3.243,,,3.129,2.928,,,,,3.137,2.115,1.057,0.6264,0.4,,,12.29,,,S-AGB
220,6.134,4.909,4.046,3.757,3.596,,,3.416,2.624,,,,,2.125,1.585,0.9119,0.75,9.044,,,117.9,,,S-AGB
221,3.936,2.641,2.124,0.404,0.439,,,1.493,1.176,,,,,15.25,10.6,4.054,3.96,1131,,,2178,,,S-AGB
222,0.743,-0.137,-0.542,1.625,1.384,,,-1.401,-2.509,,,,,210.399994,199.3,106.900002,97.09,16.7,10.29,6.755,5.973,1.234,1.433,S-AGB
223,6.925,5.534,4.873,4.57,4.626,,,4.117,3.508,,,,,1.026,0.9354,0.4052,0.4299,12.77,,,229.3,,,S-AGB
224,4.144,2.892,2.439,0.89,0.723,,,2.083,1.728,,,,,8.218,6.307,2.109,1.927,0.6045,,,1.775,,,S-AGB
225,6.053,4.734,3.95,9.756,9.327,,,8.356,5.355,,,,,4.874,4.46,1.798,1.821,15.41,,,145.5,,,S-AGB
226,5.925,4.911,4.371,4.298,4.372,,,4.008,3.409,,,,,1.345,1.018,0.5234,0.4586,0.4231,,,2.338,,,S-AGB
227,5.462,4.103,3.553,3.192,2.927,,,2.839,2.403,,,,,4.257,3.716,1.267,1.229,1.49,,0.9666,14.77,,,S-AGB
228,3.839,2.843,2.372,1.564,1.057,,,1.404,0.971,,,,,11.38,12.52,4.683,4.477,0.7388,,,9.379,,,S-AGB
229,6.118,5.016,4.303,3.653,3.3,,,2.985,2.637,,,,,,3.176,1.08,0.9605,5.725,,,60.12,,,S-AGB
230,4.183,2.838,2.302,0.291,1.231,,,1.887,0.999,,,,,9.597,7.911,4.044,4.042,1.331,0.5654,1.154,27.48,,,S-AGB
231,5.306,3.676,3.083,1.752,1.737,,,0.96,0.109,,,,,11.56,13.52,8.273,9.217,35.68,0.3336,3.998,345.5,20.1,,S-AGB
232,6.387,4.845,4.128,3.642,3.366,,,3.001,1.919,,,,,2.827,2.836,1.618,6.835,34.35,,,366.6,,,S-AGB
233,4.274,3.219,2.864,1.784,2.554,,,2.559,2.263,,,,,5.297,4.452,1.483,1.23,0.6236,,,21.85,,,S-AGB
234,3.951,2.29,1.466,-1.278,-1.435,,,-0.45,-1.328,,,,,90.910004,70.6,37.970001,32.2,8.629,,,31.38,,,S-AGB
235,6.399,5.206,4.448,3.649,3.063,,,2.346,1.64,,,,,3.629,5.105,1.853,2.444,33.82,,,19.82,,,S-AGB
236,1.99,0.913,0.483,-2.25,-1.692,,,-0.139,-0.841,,,,,54.290001,51.82,22.860001,21.93,4.494,,,4.943,,,S-AGB
237,5.327,4.235,3.791,3.466,3.43,,,3.258,2.889,,,,,2.611,1.913,0.7545,0.6453,2.793,,,13.66,,,S-AGB
238,4.53,3.309,2.905,1.965,2.718,,,2.696,2.423,,,,,4.751,3.728,1.326,1.082,0.4703,,,3.264,,,S-AGB
239,5.377,3.61,3.053,1.942,2.404,,,2.261,1.827,,,,,6.569,4.233,1.917,1.508,5.239,,,78.55,,,S-AGB
240,4.332,3.008,2.583,0.836,1.348,,,2.045,1.629,,,,,7.349,5.708,2.284,1.995,0.6488,,0.508,11.2,,0.1363,S-AGB
241,5.253,4.393,3.863,3.464,2.944,,,2.603,2.205,,,,,5.201,4.42,1.74,1.297,0.4,,,9.091,,,S-AGB
242,4.897,3.636,3.063,1.733,1.374,,,1.771,1.424,,,,,9.32,8.197,2.974,2.821,0.6167,0.5011,0.4333,3.999,,,S-AGB
243,1.871,0.87,0.286,-1.929,-2.442,,,-1.31,-2.265,,,,,,160.6,82.269997,66.98,18.83,,,21.54,,,S-AGB
244,5.457,4.218,3.878,3.523,3.244,,,3.429,3.32,,,,,2.41,1.926,0.6768,0.6369,0.4,,,12.15,,,S-AGB
245,5.332,4.063,3.692,3.73,3.342,,,3.537,3.385,,,,,4.56,1.895,0.5769,0.3564,0.7881,,,6.103,,,S-AGB
246,9.58,8.304,7.775,6.571,6.121,,,4.43,3.141,,,,,,14.07,,5.47,2.063,1.37,1.454,15.5,0.6891,2.324,S-AGB
247,2.58,1.543,1.198,-1.277,-0.438,,,1.132,0.869,,,,,19.6,14.89,,4.366,1.261,2.122,1.082,73.73,,,S-AGB
248,4.705,3.443,3.173,2.015,2.688,,,2.731,2.639,,,,,4.426,3.74,1.103,1.165,8.687,,,136.4,,,S-AGB
249,1.945,0.911,0.492,-1.957,-1.527,,,0.158,-0.27,,,,,52.330002,38.22,14.5,11.74,2.668,1.2,1.897,12.53,2.429,1.407,S-AGB
250,6.099,4.781,4.153,3.594,2.81,,,3.335,2.985,,,,,3.218,2.034,0.6145,4.08,30.1,,,492.3,,,S-AGB
251,7.617,6.614,6.215,6.436,6.108,,,5.599,5.322,,,,,0.3972,0.3345,,0.2666,0.4,,,2.09,,,S-AGB
252,7.455,6.137,5.421,4.672,4.327,,,3.836,3.123,,,,,1.193,1.192,0.4469,0.4567,0.6098,,,29.9,,,S-AGB
253,5.228,4.372,4.007,3.824,3.649,,,3.55,3.294,,,,,2.07,1.649,0.5639,0.5042,0.4,,,3.696,,,S-AGB
254,5.066,3.638,2.938,0.248,0.392,,,0.964,0.46,,,,,15.04,20.07,,7.925,4.592,4.175,0.9632,245.1,5.063,,S-AGB
255,6.694,5.317,4.543,3.466,3.031,,,2.288,1.792,,,,,5.358,3.789,1.157,1.45,17.86,,,256.4,,,S-AGB
256,5.532,4.383,3.84,1.954,2.503,,,1.9,1.4,,,,,,6.634,2.949,5.371,0.6947,,,5.981,,,S-AGB
257,12.136,11.319,11.07,10.622,10.784,,,10.259,7.853,,,,,,0.3824,,0.547,0.6846,,,7.575,,,S-AGB
258,6.274,4.959,4.158,3.836,3.683,,,3.335,3.021,,,,,,1.694,0.8479,0.6757,0.6072,,,5.683,,,S-AGB
259,5.233,3.725,3.208,1.888,1.896,,,2.693,2.277,,,,,,3.201,1.273,1.201,4.784,,,206.1,,,S-AGB
260,4.677,3.418,2.979,3.052,2.873,,,2.695,2.155,,,,,,3.628,1.459,1.265,0.447,,,3.072,,,S-AGB
261,6.015,4.692,3.936,3.546,3.422,,,3.234,2.63,,,,,2.515,1.937,0.9783,3.339,28.7,,,307.6,,,S-AGB
262,4.861,3.335,2.71,0.671,0.485,,,0.991,0.393,,,,,13.229999,12.5,5.101,5.973,7.25,,,76.82,,,S-AGB
263,4.205,2.733,2.126,-0.318,0.262,,,1.674,1.094,,,,,13.4,10.02,4.097,3.718,34.47,,,251.7,,,S-AGB
264,3.993,2.765,2.323,0.194,1.322,,,1.947,1.358,,,,,9.127,7.431,,3.055,0.7416,,,31.06,,,S-AGB
265,3.922,2.885,2.538,0.951,1.527,,,2.312,1.818,,,,,7.076,5.85,2.605,2.058,0.6896,0.1957,0.53,1.269,,,S-AGB
266,7.209,6.354,5.852,5.88,5.257,,,4.542,3.805,,,,,0.9829,0.795,0.4218,0.4693,0.4,,,4.695,,,S-AGB
267,4.164,3.089,2.694,1.554,1.433,,,2.424,2.262,,,,,5.921,4.434,1.474,1.206,0.5689,,,5.146,,,S-AGB
268,5.819,5.139,4.742,4.447,3.656,,,3.273,2.559,,,,,2.319,2.773,1.118,1.059,0.4,,,1,,,S-AGB
269,5.756,4.664,4.287,3.952,3.639,,,3.433,3.243,,,,,1.284,1.369,0.569,0.3005,0.5281,,,21.59,,,S-AGB
270,5.038,4.225,3.888,3.667,3.402,,,2.831,2.009,,,,,,3.139,,1.592,0.4,,,1.079,,,S-AGB
271,5.685,4.665,4.244,4.164,4.033,,,3.441,2.574,,,,,1.935,1.981,0.9988,0.9219,0.4,,,1.867,,,S-AGB
272,3.032,2.101,1.625,-1.836,-1.94,,,-0.092,-0.668,,,,,,52.34,22.280001,19.38,4.152,5.78,2.228,1.454,1.584,5.225,S-AGB
273,5.449,4.476,3.685,3.528,3.379,,,3.247,2.672,,,,,2.692,2.252,0.9357,0.7975,0.847,,,8.484,,,S-AGB
274,3.495,2.492,2.09,-0.661,-0.043,,,1.451,1.212,,,,,14.19,10.95,3.743,3.36,0.8077,,0.4846,6.971,3.195,0.8775,S-AGB
275,5.776,4.224,3.511,3.311,2.99,,,2.812,2.291,,,,,3.175,3.347,1.145,1.201,2.319,,,93.91,,,S-AGB
276,1.534,0.238,-0.556,-1.356,-2.102,,,-2.933,-3.572,,,,,,1575,726.400024,669.6,111.7,112.5,49.84,35.99,15.75,10.59,S-AGB
277,4.755,3.562,3.182,3.267,2.964,,,2.857,2.507,,,,,3.685,2.949,1.311,0.8302,0.464,,,20.15,,,S-AGB
278,4.164,3.053,2.573,2.1,1.763,,,2.354,2.039,,,,,7.198,6.293,2.157,2.103,0.5282,0.246,0.4357,20.16,,1.289,S-AGB
279,6.185,4.794,4.099,11.305,11.24,,,9.829,8.858,,,,,3.925,4.053,1.396,1.147,0.4802,,,4.656,,,S-AGB
280,5.241,4.176,3.677,3.485,3.34,,,3.155,2.546,,,,,2.752,2.266,1.011,0.9246,0.4,,,1.766,,,S-AGB
281,5.279,4.566,4.006,3.356,2.654,,,1.844,1.259,,,,,,7.936,3.956,2.915,0.6348,0.4716,0.2986,1,,,S-AGB
282,6.965,5.61,4.908,4.306,2.989,,,3.232,2.199,,,,,2.377,3.816,1.771,3.105,0.4897,,,23.7,,,S-AGB
283,4.894,3.896,3.737,3.58,3.217,,,3.269,2.923,,,,,2.585,2.161,0.7911,0.7177,0.4,,,1,,,S-AGB
284,2.661,1.455,1.012,-1.767,-0.833,,,0.236,-0.273,,,,,38.779999,31.62,13.729999,13.84,3.013,1.426,1.662,7.197,0.5566,,S-AGB
285,6.201,4.857,4.17,3.654,3.271,,,2.951,2.694,,,,,2.589,2.498,0.9505,0.6189,0.4,,,1.601,,,S-AGB
286,7.266,6.296,5.944,5.912,5.772,,,4.849,3.783,,,,,0.4949,0.5135,0.3249,0.2169,0.4,,,13.14,,,S-AGB
287,5.069,4.19,3.762,2.613,3.279,,,3.333,3.057,,,,,2.559,2.157,0.6933,0.5921,0.4,,,1.652,,,S-AGB
288,6.208,5.095,4.467,4.168,3.91,,,2.814,1.764,,,,,2.485,7.663,1.667,3.418,0.8209,,,1.455,,,S-AGB
289,6.315,5.26,4.594,4.576,3.983,,,3.581,3.135,,,,,2.302,1.804,0.8074,0.6274,0.4772,,,5.915,,,S-AGB
290,0.168,-1.101,-1.695,5.983,4.847,,,-3.049,-4.102,,,,,,1688,,459,80.67,67.040001,32.34,17.72,8.004,6.852,S-AGB
291,4.807,3.709,3.11,2.079,2.813,,,2.809,2.513,,,,,4.002,3.421,1.218,0.9632,0.4,,,3.611,,,S-AGB
292,5.943,5.213,4.643,4.09,3.137,,,2.29,1.355,,,,,,7.477,2.806,3.534,0.5477,,,1.05,,,S-AGB
293,6.392,5.453,5.005,4.027,3.755,,,3.48,3.131,,,,,1.808,1.59,0.5726,0.4877,0.6544,0.5645,0.5301,1.458,0.2696,,S-AGB
294,6.64,5.829,5.326,4.922,4.411,,,3.885,3.338,,,,,1.586,1.505,0.5652,0.4937,0.4,,,1.354,,,S-AGB
295,2.066,1.05,0.625,-1.959,-1.216,,,-0.154,-0.575,,,,,53.459999,39.69,18.530001,15.47,5.274,4.022,4.021,9.334,4.254,2.246,S-AGB
296,5.327,4.658,4.019,4.169,3.74,,,3.507,3.274,,,,,2.164,1.692,0.6073,0.5173,0.4,,,1.582,,,S-AGB
297,4.965,4.014,3.735,3.648,3.433,,,3.546,3.31,,,,,2.089,1.781,0.5304,0.5219,0.5471,,,2.072,,,S-AGB
298,2.742,1.843,1.573,-0.67,-0.123,,,1.502,1.355,,,,,14.479999,10.56,3.361,2.898,1.121,0.2613,0.488,1.594,0.3139,0.03677,S-AGB
299,5.261,4.089,3.367,1.474,1.048,,,1.641,1.368,,,,,6.625,9.684,2.827,3.059,0.6686,,,1.42,,,S-AGB
300,2.648,1.741,1.362,-1.429,-0.748,,,0.481,-0.348,,,,,33.07,38.17,14.97,24.95,10.07,4.7,5.537,16.02,4.745,4.259,S-AGB
301,5.173,4.518,3.832,3.656,3.399,,,3.34,3.072,,,,,2.303,1.815,0.6854,0.5442,0.4,,,2.237,,,S-AGB
302,5.302,4.176,3.745,2.554,2.845,,,2.865,2.357,,,,,3.632,2.904,1.188,1.138,0.4,,,2.676,,,S-AGB
303,3.367,2.192,1.772,-0.636,-0.084,,,1.338,0.951,,,,,17.25,12.8,4.995,3.947,11.51,,,101.8,,,S-AGB
304,3.656,2.498,2.051,-0.592,0.372,,,1.67,1.322,,,,,11.9,10.3,3.503,3.038,0.6825,0.6889,0.4222,50.99,0.319,,S-AGB
305,5.289,4.557,4.135,3.8,3.264,,,2.885,2.551,,,,,4.031,3.107,1.25,0.9709,0.4,,,1.013,,,S-AGB
306,5.253,4.543,4.134,3.748,3.485,,,3.743,3.605,,,,,1.802,1.362,0.4551,0.3744,0.4,,,7.389,,,S-AGB
307,4.513,3.446,2.922,1.516,1.416,,,2.182,1.813,,,,,6.264,5.238,2.098,1.704,0.465,,,2.218,,,S-AGB
308,4.062,2.98,2.275,0.221,0.541,,,1.61,1.388,,,,,9.213,10.36,2.782,2.444,14.48,,,160.9,,,S-AGB
309,5.01,3.804,3.184,2.095,2.724,,,2.683,2.27,,,,,4.385,3.52,1.344,1.265,0.5101,,,24.5,,,S-AGB
310,7.306,5.75,4.562,3.447,1.26,,,1.665,1.49,,,,,9.412,7.259,2.904,2.321,0.5738,,,1,,,S-AGB
311,6.477,5.573,5.271,5.068,5.131,,,5.115,4.985,,,,,0.5148,0.3746,0.136,0.2538,2.21,,,26.11,,,S-AGB
312,5.113,4.09,3.304,2.33,3.057,,,2.825,2.393,,,,,3.955,3.149,1.242,1.044,0.4,,,2.831,,,S-AGB
313,7.357,6.222,5.745,5.956,5.857,,,5.384,5.143,,,,,0.4615,0.3541,0.1142,0.25,0.5162,,,2.21,,,S-AGB
314,6.449,5.456,5.091,4.932,4.96,,,4.918,4.736,,,,,0.6288,0.4878,0.1451,0.2901,1.951,0.2546,0.4801,27.41,3.422,0.1123,S-AGB
315,5.128,3.907,2.929,2.186,0.758,,,1.56,1.327,,,,,16.16,5.949,4.698,1.648,0.4,,,2.075,,,S-AGB
316,5.068,4.314,4.03,3.617,3.449,,,3.452,3.128,,,,,2.145,1.636,0.5835,0.6179,0.4,,,9.726,,,S-AGB
317,5.322,4.441,4.08,3.873,3.585,,,3.35,2.925,,,,,2.268,1.936,0.8339,0.6353,0.4,,,1.128,,,S-AGB
318,-0.715,-1.882,-2.351,3.372,3.735,,,-0.482,-0.572,,,,,,908.5,,437.3,77.3,63.919998,35.020001,23.28,9.314,5.549,S-AGB
319,7.69,6.463,5.841,4.976,4.953,,,4.495,4.093,,,,,0.6447,0.4121,0.196,0.25,0.4,,,1.568,,,S-AGB
320,1.337,0.357,-0.023,-1.505,-0.561,,,-0.678,-1.248,,,,,114,98.73,37.240002,32.66,8.389,5.386,3.849,6.159,2.491,2.324,S-AGB
321,3.917,2.691,2.12,-0.218,0.42,,,1.668,1.268,,,,,12.24,9.6,3.573,3.129,2.041,0.591,1.368,38.29,,,S-AGB
322,3.852,2.602,1.958,-0.905,-0.304,,,-0.87,-2.391,,,,,75.709999,108.5,83.349998,93.3,16.68,10.76,9.129,15.27,3.488,0.5179,S-AGB
323,2.306,1.239,1.041,-1.468,-0.646,,,0.606,0.413,,,,,33.439999,27.6,8.114,7.149,1.191,0.5687,0.5257,1,,0.05902,S-AGB
324,4.535,3.551,3.035,1.998,2.077,,,2.658,2.399,,,,,4.231,3.881,1.276,1.094,0.4,,,1.042,,,S-AGB
325,4.023,2.973,2.318,0.552,0.735,,,1.846,1.444,,,,,9.406,8.405,2.931,2.896,0.7903,,,2.72,,,S-AGB
326,5.325,4.196,3.803,2.615,3.138,,,3.032,2.789,,,,,3.172,2.2,0.9035,0.607,0.4,,,1,,,S-AGB
327,5.33,4.201,3.335,1.697,1.072,,,1.703,1.239,,,,,10.41,8.248,2.765,3.106,0.5909,,,16.25,,,S-AGB
328,3.483,2.588,1.864,-1.148,-0.432,,,-0.793,-1.74,,,,,93.290001,50.87,55.150002,28.35,8.689,7.324,6.283,5.409,2.262,,S-AGB
329,3.332,2.397,2.047,-0.439,0.068,,,1.196,0.902,,,,,16.059999,13.31,4.861,3.964,0.7248,,,1,,,S-AGB
